state,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155
Alabama,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,2.0,4.25,4.6,5.5,6.428571428571429,10.285714285714286,13.428571428571429,15.428571428571429,18.285714285714285,22.428571428571427,27.285714285714285,44.0,61.714285714285715,72.57142857142857,80.42857142857143,90.57142857142857,100.71428571428571,87.57142857142857,81.14285714285714,90.14285714285714,116.42857142857143,114.57142857142857,127.57142857142857,143.71428571428572,155.85714285714286,175.42857142857142,186.14285714285714,196.57142857142858,203.14285714285714,225.42857142857142,229.71428571428572,207.85714285714286,200.42857142857142,199.42857142857142,187.14285714285714,162.85714285714286,156.85714285714286,160.71428571428572,155.14285714285714,172.28571428571428,180.0,186.14285714285714,187.14285714285714,191.85714285714286,173.14285714285714,162.85714285714286,156.14285714285714,148.85714285714286,154.42857142857142,170.0,192.71428571428572,194.57142857142858,216.0,231.85714285714286,250.28571428571428,253.42857142857142,254.28571428571428,253.85714285714286,246.71428571428572,253.28571428571428,236.28571428571428,245.14285714285714,243.57142857142858,255.0,229.57142857142858,231.71428571428572,239.42857142857142,278.7142857142857,291.57142857142856,285.14285714285717,339.7142857142857,341.7142857142857,372.85714285714283,371.14285714285717,374.0,408.57142857142856,411.7142857142857,411.57142857142856,423.7142857142857,412.0,391.2857142857143,331.57142857142856,291.57142857142856,289.7142857142857,298.7142857142857,280.85714285714283,307.7142857142857,367.2857142857143,416.7142857142857,494.0,523.8571428571429,585.8571428571429,670.0,692.8571428571429,703.2857142857143,638.1428571428571,642.2857142857143,628.7142857142857,562.0,535.5714285714286,506.0,540.7142857142857,551.1428571428571
Alaska,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.3333333333333333,0.7142857142857143,1.1428571428571428,1.5714285714285714,1.8571428571428572,2.857142857142857,2.7142857142857144,4.285714285714286,4.714285714285714,6.714285714285714,7.857142857142857,9.142857142857142,11.428571428571429,11.142857142857142,11.0,10.571428571428571,10.571428571428571,8.714285714285714,7.714285714285714,7.857142857142857,9.142857142857142,8.0,9.714285714285714,11.142857142857142,11.0,10.714285714285714,10.285714285714286,11.571428571428571,9.142857142857142,8.428571428571429,8.285714285714286,7.714285714285714,7.428571428571429,6.0,6.0,5.142857142857143,5.142857142857143,5.0,4.0,3.5714285714285716,2.857142857142857,2.857142857142857,2.2857142857142856,2.2857142857142856,2.5714285714285716,2.2857142857142856,3.5714285714285716,3.4285714285714284,3.2857142857142856,2.7142857142857144,2.2857142857142856,2.4285714285714284,1.5714285714285714,1.8571428571428572,1.5714285714285714,1.4285714285714286,1.5714285714285714,1.8571428571428572,1.4285714285714286,1.5714285714285714,1.5714285714285714,2.0,2.2857142857142856,2.2857142857142856,2.2857142857142856,2.142857142857143,2.0,1.7142857142857142,1.8571428571428572,1.4285714285714286,1.8571428571428572,2.0,2.142857142857143,3.7142857142857144,3.857142857142857,4.571428571428571,8.142857142857142,8.571428571428571,11.428571428571429,12.285714285714286,15.142857142857142,17.714285714285715,15.714285714285714,16.0,15.714285714285714,14.857142857142858,14.285714285714286,14.428571428571429,15.571428571428571,19.142857142857142,18.142857142857142,16.857142857142858,15.571428571428571,15.714285714285714,15.285714285714286,14.142857142857142,15.857142857142858,17.285714285714285,16.857142857142858,18.428571428571427,18.714285714285715
Arizona,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.2857142857142857,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5714285714285714,1.0,0.8571428571428571,0.5714285714285714,1.0,1.0,1.7142857142857142,1.5714285714285714,2.7142857142857144,5.428571428571429,8.285714285714286,13.0,19.285714285714285,30.571428571428573,42.57142857142857,50.714285714285715,62.57142857142857,80.14285714285714,88.57142857142857,99.28571428571429,120.42857142857143,128.0,129.28571428571428,133.57142857142858,142.28571428571428,155.71428571428572,157.14285714285714,166.71428571428572,166.0,160.85714285714286,178.42857142857142,156.14285714285714,160.57142857142858,153.42857142857142,161.0,154.28571428571428,134.85714285714286,160.28571428571428,159.14285714285714,168.57142857142858,175.28571428571428,179.71428571428572,184.14285714285714,175.0,180.28571428571428,189.42857142857142,193.0,208.85714285714286,209.28571428571428,212.71428571428572,204.71428571428572,229.0,240.28571428571428,262.57142857142856,274.85714285714283,281.57142857142856,300.42857142857144,294.14285714285717,283.2857142857143,308.85714285714283,331.42857142857144,314.2857142857143,296.42857142857144,289.85714285714283,318.7142857142857,306.85714285714283,315.57142857142856,358.85714285714283,365.2857142857143,347.7142857142857,341.42857142857144,317.57142857142856,306.57142857142856,282.42857142857144,300.42857142857144,309.85714285714283,285.0,269.42857142857144,278.14285714285717,307.85714285714283,346.42857142857144,416.57142857142856,482.14285714285717,477.14285714285717,569.7142857142857,640.2857142857143,621.8571428571429,730.5714285714286,797.2857142857143,971.5714285714286,930.1428571428571,878.7142857142857,1023.2857142857143,1022.2857142857143,1092.857142857143,1121.2857142857142,1170.2857142857142,1229.857142857143,1331.0,1376.2857142857142,1509.142857142857,1734.4285714285713,2035.0,2237.285714285714,2209.8571428571427,2462.5714285714284,2353.714285714286
Arkansas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1.6666666666666667,1.5,1.6,2.5,3.0,3.0,3.857142857142857,7.857142857142857,13.0,14.571428571428571,20.428571428571427,25.571428571428573,28.285714285714285,35.0,35.714285714285715,38.142857142857146,34.857142857142854,35.42857142857143,39.57142857142857,36.714285714285715,39.142857142857146,42.57142857142857,47.0,42.0,49.285714285714285,51.857142857142854,53.285714285714285,56.285714285714285,58.285714285714285,65.57142857142857,53.57142857142857,50.42857142857143,68.28571428571429,60.142857142857146,64.71428571428571,59.714285714285715,66.71428571428571,71.0,43.714285714285715,67.57142857142857,94.71428571428571,110.28571428571429,129.14285714285714,147.57142857142858,161.14285714285714,147.14285714285714,115.28571428571429,105.0,86.85714285714286,67.28571428571429,57.285714285714285,53.0,51.714285714285715,48.857142857142854,45.42857142857143,47.142857142857146,54.857142857142854,53.57142857142857,45.142857142857146,77.57142857142857,74.0,79.0,77.42857142857143,88.42857142857143,102.28571428571429,80.85714285714286,102.28571428571429,92.71428571428571,98.14285714285714,91.0,142.14285714285714,147.71428571428572,145.14285714285714,158.42857142857142,158.0,168.14285714285714,117.0,132.28571428571428,143.14285714285714,155.85714285714286,174.85714285714286,180.42857142857142,220.14285714285714,218.42857142857142,235.42857142857142,234.0,264.0,283.2857142857143,274.57142857142856,287.57142857142856,277.57142857142856,309.2857142857143,349.42857142857144,381.2857142857143,394.42857142857144,405.2857142857143,403.2857142857143,398.57142857142856,340.14285714285717,362.2857142857143,377.2857142857143,377.7142857142857,413.14285714285717,438.85714285714283,492.42857142857144
California,0,0,0,0,0.0,0.3333333333333333,0.25,0.2,0.16666666666666666,0.14285714285714285,0.2857142857142857,0.14285714285714285,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.42857142857142855,0.42857142857142855,0.0,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.0,0.0,0.0,0.14285714285714285,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.5714285714285714,0.5714285714285714,2.5714285714285716,2.4285714285714284,2.5714285714285716,2.7142857142857144,3.142857142857143,3.857142857142857,2.7142857142857144,4.142857142857143,5.714285714285714,7.571428571428571,9.571428571428571,10.571428571428571,18.142857142857142,17.714285714285715,19.285714285714285,24.428571428571427,31.428571428571427,38.42857142857143,43.714285714285715,58.42857142857143,75.71428571428571,91.57142857142857,106.71428571428571,128.85714285714286,152.28571428571428,180.42857142857142,215.42857142857142,250.14285714285714,302.2857142857143,396.7142857142857,481.42857142857144,530.5714285714286,575.1428571428571,682.4285714285714,771.2857142857143,822.2857142857143,896.5714285714286,1000.5714285714286,1075.7142857142858,1093.5714285714287,1100.2857142857142,1103.4285714285713,1121.857142857143,1088.857142857143,1081.4285714285713,1049.2857142857142,1005.5714285714286,970.5714285714286,959.2857142857143,988.0,968.0,996.7142857142857,1072.2857142857142,1030.0,1157.7142857142858,1248.142857142857,1347.2857142857142,1448.0,1505.5714285714287,1578.0,1404.142857142857,1337.7142857142858,1285.2857142857142,1338.5714285714287,1300.2857142857142,1389.7142857142858,1437.4285714285713,1409.142857142857,1394.7142857142858,1420.5714285714287,1473.857142857143,1451.857142857143,1551.857142857143,1678.857142857143,1674.0,1523.7142857142858,1480.4285714285713,1533.857142857143,1475.857142857143,1455.857142857143,1554.5714285714287,1550.2857142857142,1541.857142857143,1537.5714285714287,1596.857142857143,1639.0,1695.4285714285713,1778.4285714285713,1828.5714285714287,1862.2857142857142,1971.4285714285713,1912.2857142857142,1895.7142857142858,2032.5714285714287,2193.8571428571427,2299.5714285714284,2245.4285714285716,2315.285714285714,2333.714285714286,2267.714285714286,2344.285714285714,2290.4285714285716,2336.285714285714,2315.1428571428573,2405.4285714285716,2460.285714285714,2457.0,2591.1428571428573,2633.8571428571427,2666.5714285714284,2631.0,2713.1428571428573,2810.285714285714,2835.714285714286,2915.5714285714284,3128.714285714286,3306.4285714285716,3641.285714285714,3951.1428571428573,4107.714285714285
Colorado,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,2.0,1.5,1.2,1.6666666666666667,2.142857142857143,4.571428571428571,5.857142857142857,10.0,13.571428571428571,17.714285714285715,20.571428571428573,21.285714285714285,23.857142857142858,28.571428571428573,37.285714285714285,48.42857142857143,61.42857142857143,76.85714285714286,99.42857142857143,115.42857142857143,152.57142857142858,180.0,210.0,227.71428571428572,245.14285714285714,272.0,273.42857142857144,284.7142857142857,303.0,322.7142857142857,331.7142857142857,311.7142857142857,297.57142857142856,275.2857142857143,288.57142857142856,276.57142857142856,277.57142857142856,304.42857142857144,323.14285714285717,326.57142857142856,296.85714285714283,309.2857142857143,307.7142857142857,304.2857142857143,291.2857142857143,309.2857142857143,309.57142857142856,314.7142857142857,316.42857142857144,403.14285714285717,462.42857142857144,476.2857142857143,479.57142857142856,480.14285714285717,488.2857142857143,421.7142857142857,384.85714285714283,382.57142857142856,389.0,365.7142857142857,368.0,359.0,371.85714285714283,371.57142857142856,391.42857142857144,399.42857142857144,362.42857142857144,340.42857142857144,311.14285714285717,299.14285714285717,277.14285714285717,287.0,302.2857142857143,295.85714285714283,287.42857142857144,279.42857142857144,279.14285714285717,264.57142857142856,289.0,280.85714285714283,257.42857142857144,254.85714285714286,230.57142857142858,237.14285714285714,238.57142857142858,277.7142857142857,301.14285714285717,287.14285714285717,285.57142857142856,275.7142857142857,249.14285714285714,216.71428571428572,210.0,203.42857142857142,199.28571428571428,183.85714285714286,162.57142857142858,147.28571428571428,139.0,145.0,135.14285714285714,135.85714285714286,134.71428571428572,146.57142857142858,154.14285714285714,167.14285714285714,174.14285714285714,177.14285714285714,180.28571428571428,174.14285714285714,179.0
Connecticut,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.3333333333333333,0.25,0.4,0.8333333333333334,1.4285714285714286,2.7142857142857144,3.4285714285714284,5.571428571428571,9.285714285714286,12.857142857142858,21.142857142857142,24.857142857142858,28.142857142857142,40.857142857142854,49.57142857142857,74.57142857142857,102.28571428571429,116.85714285714286,152.57142857142858,171.0,225.42857142857142,279.0,321.85714285714283,363.57142857142856,361.85714285714283,484.42857142857144,469.0,443.42857142857144,539.7142857142857,603.4285714285714,708.1428571428571,695.5714285714286,751.7142857142857,833.5714285714286,732.7142857142857,800.0,744.0,710.1428571428571,763.7142857142857,757.0,787.8571428571429,654.4285714285714,832.2857142857143,800.7142857142857,940.7142857142857,898.7142857142857,910.1428571428571,945.7142857142857,779.1428571428571,805.2857142857143,549.0,523.8571428571429,539.8571428571429,597.4285714285714,574.0,470.0,523.0,550.5714285714286,470.7142857142857,431.42857142857144,446.2857142857143,528.1428571428571,511.57142857142856,449.14285714285717,476.85714285714283,438.7142857142857,436.14285714285717,443.0,449.85714285714283,522.0,540.4285714285714,510.7142857142857,507.57142857142856,446.14285714285717,419.57142857142856,371.85714285714283,336.0,349.0,326.57142857142856,297.14285714285717,274.14285714285717,248.57142857142858,222.0,189.71428571428572,205.28571428571428,241.57142857142858,218.85714285714286,211.0,205.42857142857142,231.0,175.42857142857142,159.0,155.42857142857142,158.28571428571428,143.0,124.42857142857143,146.57142857142858,142.28571428571428,150.85714285714286,143.14285714285714,138.28571428571428,107.28571428571429,80.42857142857143,89.57142857142857,74.28571428571429,61.857142857142854,67.14285714285714,67.57142857142857
Delaware,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1.0,0.75,0.6,1.0,1.0,2.142857142857143,3.142857142857143,3.7142857142857144,5.0,5.428571428571429,6.857142857142857,10.142857142857142,11.142857142857142,12.714285714285714,14.857142857142858,17.142857142857142,22.571428571428573,20.714285714285715,22.857142857142858,28.571428571428573,32.142857142857146,32.57142857142857,33.714285714285715,51.57142857142857,58.42857142857143,66.28571428571429,80.0,103.28571428571429,108.42857142857143,104.71428571428571,115.14285714285714,120.28571428571429,119.0,115.71428571428571,115.0,107.0,120.57142857142857,130.42857142857142,111.0,117.0,131.0,160.71428571428572,140.71428571428572,129.14285714285714,148.28571428571428,184.14285714285714,175.85714285714286,196.42857142857142,192.42857142857142,184.57142857142858,191.71428571428572,143.42857142857142,149.42857142857142,101.85714285714286,102.28571428571429,149.14285714285714,145.85714285714286,153.28571428571428,152.71428571428572,165.57142857142858,170.57142857142858,137.57142857142858,144.71428571428572,158.85714285714286,156.57142857142858,157.14285714285714,157.85714285714286,161.14285714285714,155.0,138.71428571428572,144.71428571428572,140.28571428571428,145.71428571428572,134.28571428571428,132.57142857142858,124.57142857142857,101.42857142857143,91.71428571428571,78.0,87.57142857142857,76.14285714285714,77.0,84.14285714285714,77.28571428571429,72.85714285714286,50.142857142857146,49.57142857142857,48.142857142857146,41.0,44.0,44.285714285714285,47.57142857142857,46.857142857142854,41.0,41.714285714285715,45.714285714285715,49.57142857142857,48.285714285714285,46.57142857142857,54.57142857142857,59.57142857142857,62.142857142857146,59.57142857142857,57.57142857142857,55.714285714285715
District of Columbia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.75,0.6,1.5,1.2857142857142858,1.2857142857142858,2.142857142857143,1.8571428571428572,2.5714285714285716,3.0,3.7142857142857144,4.142857142857143,7.857142857142857,8.571428571428571,10.857142857142858,12.142857142857142,14.428571428571429,20.571428571428573,22.857142857142858,27.142857142857142,29.428571428571427,32.285714285714285,37.714285714285715,44.57142857142857,50.714285714285715,55.142857142857146,64.71428571428571,80.0,85.28571428571429,86.0,89.28571428571429,112.42857142857143,109.42857142857143,108.28571428571429,111.42857142857143,111.14285714285714,106.28571428571429,88.28571428571429,96.28571428571429,98.57142857142857,99.71428571428571,113.0,119.71428571428571,124.14285714285714,128.71428571428572,122.28571428571429,126.42857142857143,123.14285714285714,129.42857142857142,130.57142857142858,113.42857142857143,112.57142857142857,106.42857142857143,113.57142857142857,137.0,136.57142857142858,160.57142857142858,168.0,173.71428571428572,162.57142857142858,142.28571428571428,157.42857142857142,155.14285714285714,157.42857142857142,152.42857142857142,146.28571428571428,132.85714285714286,119.57142857142857,109.85714285714286,110.0,104.85714285714286,112.14285714285714,121.42857142857143,116.42857142857143,131.0,121.57142857142857,120.42857142857143,120.0,113.0,111.85714285714286,88.28571428571429,85.57142857142857,81.71428571428571,86.71428571428571,82.28571428571429,74.71428571428571,68.57142857142857,74.85714285714286,83.14285714285714,68.85714285714286,66.85714285714286,67.85714285714286,71.85714285714286,65.42857142857143,59.57142857142857,55.714285714285715,55.0,53.857142857142854,54.0,46.42857142857143,40.142857142857146,36.857142857142854,35.57142857142857,34.714285714285715,31.0,31.571428571428573,34.285714285714285,35.285714285714285,32.142857142857146
Florida,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.25,0.2,0.3333333333333333,0.7142857142857143,1.4285714285714286,1.5714285714285714,1.5714285714285714,2.857142857142857,3.142857142857143,5.571428571428571,8.285714285714286,8.142857142857142,13.571428571428571,16.857142857142858,26.285714285714285,40.0,52.0,70.57142857142857,93.57142857142857,122.71428571428571,144.57142857142858,163.0,218.71428571428572,273.2857142857143,347.7142857142857,434.0,531.4285714285714,603.8571428571429,682.2857142857143,755.4285714285714,828.8571428571429,888.8571428571429,942.1428571428571,949.7142857142857,982.8571428571429,996.2857142857143,955.7142857142857,937.0,917.5714285714286,948.0,890.5714285714286,896.0,847.1428571428571,815.2857142857143,767.4285714285714,823.8571428571429,804.1428571428571,756.4285714285714,775.7142857142857,762.1428571428571,709.8571428571429,699.2857142857143,720.1428571428571,646.4285714285714,638.5714285714286,609.8571428571429,648.1428571428571,506.42857142857144,451.14285714285717,555.5714285714286,562.1428571428571,562.8571428571429,578.7142857142857,606.5714285714286,615.8571428571429,585.7142857142857,533.7142857142857,560.4285714285714,528.4285714285714,506.14285714285717,560.1428571428571,510.57142857142856,573.0,591.0,602.1428571428571,658.0,645.5714285714286,648.8571428571429,608.7142857142857,648.1428571428571,662.8571428571429,648.4285714285714,632.1428571428571,686.0,683.4285714285714,565.5714285714286,547.7142857142857,624.2857142857143,651.0,631.0,653.5714285714286,687.5714285714286,782.7142857142857,812.2857142857143,866.2857142857143,942.1428571428571,1015.4285714285714,1065.2857142857142,1033.7142857142858,1026.857142857143,1083.0,1173.2857142857142,1373.4285714285713,1523.4285714285713,1618.0,1819.7142857142858,1950.0,2136.4285714285716,2313.714285714286,2604.1428571428573,2852.1428571428573,2872.5714285714284,2969.1428571428573,3298.285714285714
